"text","meaning","mood"
"Ka lawm e.","I’m happy.","happy"
"Ka thinlung a luang e.","My heart feels light.","happy"
"Ka dam e, ka lawm e.","I’m healthy and happy.","happy"
Ka ti thei lo.,I can’t do it.,neutral
Ka lo kal tawh a.,I’ve arrived.,neutral
Ka la ti loh hle.,I haven’t done it yet.,neutral
Ka hmu tawh a.,I saw it.,angry
Ka tih belh tawh a.,I’ve done it again.,neutral
Ka lo hmu tawh a ni.,I’ve just seen it.,neutra 
"text","meaning","mood"
"Ka lawm e.","I’m happy.","happy"
"Ka thinlung a luang e.","My heart feels light.","happy"
"Ka hria chuan thil fel tak a thleng tawh!","I know that something good has happened!","happy"
"Ka nu leh pa te chu ka lawm takzet.","I’m very thankful to my parents.","happy"
"Ka ngaih khawp mai.","I really love it.","happy"
"Ka dam e, ka lawm e.","I’m healthy and happy.","happy"
"Tunlai khawp mai ka lawm e.","I’m so grateful today.","happy"
"Nangmah chu ka hria ve tawp mai.","I’m really glad to know you.","happy"
"Ka chhiar thei tawh a, ka lawm e.","I can finally study, I’m happy.","happy"
"Ka thiam tawh a, ka lawm takzet.","I finally succeeded, I’m so happy.","happy"
"Ka thinlung a tawng e.","My heart is heavy.","sad"
"Ka ngai tawp mai.","I miss you so much.","sad"
"Ka hlauhawm takzet e.","I’m really scared.","sad"
"Ka ngaih em em tawh ni e.","I really loved you.","sad"
"Ka rilru a bo e.","My mind feels dull.","sad"
"Ka rilru a mu e.","I feel down.","sad"
"Ka rin lo tawh a.","I’ve lost hope.","sad"
"Ka hre loh vangin ka ngai tawp mai.","I miss you because I don’t know where you are.","sad"
"Ka thinlung a ngawt e.","My heart aches.","sad"
"Ka ngaiin ka ring tawh lo.","I waited but lost faith.","sad"
"Ka nuam lo.","I’m not happy.","angry"
"Ka bo tawp mai.","I’m so angry.","angry"
"I duh loh em ni?","Don’t you like it?","angry"
"Nang chu ka hlauhawm lo.","I’m not afraid of you.","angry"
"I sawi zawk leh tawh chu ka ring lo.","I don’t believe what you keep saying.","angry"
"Ka tihna a ni lo!","That’s not what I meant!","angry"
"Nangmah chu a sawi zawk leh tawh e!","You’re saying that again!","angry"
"Ka duh lo em em.","I really don’t want it.","angry"
"Ka ngaih loh vangin ka bo.","I’m angry because I don’t care.","angry"
"Nang chu ka hlauhawm ta tawh lo.","I’m no longer afraid of you.","angry"
"Ka chhiar mek e.","I’m studying.","neutral"
"Ka kal mek e.","I’m going now.","neutral"
"Ka inah ka awm.","I’m at home.","neutral"
"Ka ei mek e.","I’m eating.","neutral"
"Ka ti thei lo.","I can’t do it.","neutral"
"Ka lo kal tawh a.","I’ve arrived.","neutral"
"Ka la ti loh hle.","I haven’t done it yet.","neutral"
"Ka hmu tawh a.","I saw it.","neutral"
"Ka tih belh tawh a.","I’ve done it again.","neutral"
"Ka lo hmu tawh a ni.","I’ve just seen it.","neutral"
